,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club,Player▲,Sh▼
0,Fernando Pacheco,es ESP,GK,25.0,37.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves,,
1,Rodrigo Ely,br BRA,DF,23.0,34.8,1,20.0,4.0,20.0,0.67,0.13,0.05,0.25,14.5,0.0,0,0,1.0,1.0,0.05,0.0,0.0,Matches,alaves,,
2,Alfonso Pedraza,es ESP,"MF,DF",21.0,29.8,4,42.0,13.0,31.0,1.55,0.48,0.07,0.23,18.9,0.0,0,0,3.5,3.5,0.08,-0.5,-0.5,Matches,alaves,,
3,Tomás Pina Isla,es ESP,MF,29.0,29.8,1,12.0,3.0,25.0,0.45,0.11,0.08,0.33,17.1,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Matches,alaves,,
4,Munir El Haddadi,ma MAR,FW,21.0,28.9,14,62.0,24.0,38.7,2.29,0.89,0.16,0.42,16.2,5.0,0,0,8.8,8.8,0.14,1.2,1.2,Matches,alaves,,
5,Ibai Gómez,es ESP,"MF,FW",27.0,28.3,7,52.0,24.0,46.2,2.02,0.93,0.12,0.25,20.7,8.0,1,1,5.5,4.7,0.09,1.5,1.3,Matches,alaves,,
6,Manu García,es ESP,MF,31.0,27.7,3,26.0,8.0,30.8,0.96,0.3,0.12,0.38,18.8,0.0,0,2,3.1,1.6,0.06,-0.1,1.4,Matches,alaves,,
7,Alexis,es ESP,DF,31.0,26.3,1,14.0,3.0,21.4,0.58,0.12,0.07,0.33,13.2,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Matches,alaves,,
8,Rubén Duarte,es ESP,DF,21.0,26.1,0,8.0,1.0,12.5,0.34,0.04,0.0,0.0,22.8,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,alaves,,
9,Martin Agirregabiria,es ESP,DF,21.0,23.8,0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,34.5,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,alaves,,
10,Rubén Sobrino,es ESP,"FW,MF",25.0,21.6,5,25.0,13.0,52.0,1.53,0.79,0.12,0.23,14.2,0.0,0,0,3.1,3.1,0.12,-0.1,-0.1,Matches,alaves,,
11,Guillermo Maripán,cl CHI,DF,23.0,20.0,0,5.0,1.0,20.0,0.29,0.06,0.0,0.0,8.8,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,alaves,,
12,Víctor Laguardia,es ESP,DF,27.0,19.3,2,6.0,2.0,33.3,0.35,0.12,0.33,1.0,8.3,0.0,0,0,0.8,0.8,0.13,1.2,1.2,Matches,alaves,,
13,Daniel Torres,co COL,MF,27.0,18.8,0,4.0,2.0,50.0,0.3,0.15,0.0,0.0,20.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,alaves,,
14,Wakaso,gh GHA,"MF,FW",27.0,15.0,0,10.0,0.0,0.0,0.82,0.0,0.0,,27.1,1.0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches,alaves,,
15,John Guidetti,se SWE,FW,25.0,14.9,3,29.0,12.0,41.4,2.16,0.89,0.1,0.25,17.4,3.0,0,0,3.4,3.4,0.12,-0.4,-0.4,Matches,alaves,,
16,Álvaro Medrán,es ESP,"MF,FW",23.0,14.0,2,16.0,6.0,37.5,1.51,0.57,0.13,0.33,24.2,1.0,0,0,0.7,0.7,0.05,1.3,1.3,Matches,alaves,,
17,Burgui,es ESP,"FW,MF",23.0,12.8,1,14.0,4.0,28.6,1.22,0.35,0.07,0.25,20.9,1.0,0,0,0.8,0.8,0.06,0.2,0.2,Matches,alaves,,
18,Carlos Vigaray,es ESP,"DF,MF",22.0,11.0,0,4.0,0.0,0.0,0.4,0.0,0.0,,19.6,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,alaves,,
19,Adrián Diéguez,es ESP,DF,21.0,9.7,0,3.0,0.0,0.0,0.62,0.0,0.0,,25.0,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,alaves,,
20,Antonio Sivera,es ESP,GK,20.0,7.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves,,
21,Bojan Krkić,es ESP,"FW,MF",26.0,6.6,1,5.0,4.0,80.0,1.01,0.81,0.0,0.0,16.0,0.0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches,alaves,,
22,Hernán Pérez,py PAR,"MF,FW",28.0,5.5,0,9.0,2.0,22.2,2.16,0.48,0.0,0.0,19.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,alaves,,
23,Christian Santos,ve VEN,FW,29.0,5.5,3,7.0,4.0,57.1,1.44,0.82,0.29,0.5,12.1,0.0,0,0,1.3,1.3,0.19,0.7,0.7,Matches,alaves,,
24,Ermedin Demirović,ba BIH,FW,19.0,4.1,4,4.0,3.0,75.0,1.97,1.48,0.25,0.33,9.4,0.0,0,0,0.9,0.9,0.22,0.1,0.1,Matches,alaves,,
25,Óscar Romero,py PAR,"MF,FW",25.0,2.8,0,8.0,3.0,37.5,2.85,1.07,0.0,0.0,28.7,2.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,alaves,,
