,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
0,Víctor Laguardia,es ESP,DF,28.0,36.0,1,16.0,5.0,31.3,0.44,0.14,0.06,0.2,12.1,1.0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,alaves
1,Fernando Pacheco,es ESP,GK,26.0,35.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves
2,Jony,es ESP,"MF,FW",27.0,33.1,4,50.0,23.0,46.0,1.51,0.69,0.08,0.17,21.5,8.0,0,0,4.4,4.4,0.09,-0.4,-0.4,Matches,alaves
3,Jonathan Calleri,ar ARG,FW,24.0,32.3,9,75.0,17.0,22.7,2.32,0.53,0.09,0.41,14.5,0.0,2,2,7.2,5.7,0.08,1.8,1.3,Matches,alaves
4,Rubén Duarte,es ESP,DF,22.0,30.8,0,22.0,7.0,31.8,0.71,0.23,0.0,0.0,26.7,0.0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,alaves
5,Ximo Navarro,es ESP,DF,28.0,28.1,2,12.0,3.0,25.0,0.43,0.11,0.17,0.67,20.6,0.0,0,0,0.5,0.5,0.04,1.5,1.5,Matches,alaves
6,Manu García,es ESP,MF,32.0,26.9,2,29.0,5.0,17.2,1.08,0.19,0.07,0.4,16.1,0.0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,alaves
7,Tomás Pina Isla,es ESP,MF,30.0,26.0,2,13.0,2.0,15.4,0.5,0.08,0.15,1.0,16.6,0.0,0,0,1.5,1.5,0.11,0.5,0.5,Matches,alaves
8,Guillermo Maripán,cl CHI,DF,24.0,24.3,2,16.0,5.0,31.3,0.66,0.21,0.13,0.4,10.5,0.0,0,0,1.2,1.2,0.08,0.8,0.8,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,22.0,23.6,1,3.0,1.0,33.3,0.13,0.04,0.33,1.0,18.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,alaves
10,Darko Brašanac,rs SRB,MF,26.0,19.6,0,10.0,2.0,20.0,0.51,0.1,0.0,0.0,15.0,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,alaves
11,Wakaso,gh GHA,MF,28.0,18.5,1,32.0,6.0,18.8,1.73,0.32,0.03,0.17,26.5,1.0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches,alaves
12,Borja Bastón,es ESP,FW,25.0,17.8,5,41.0,13.0,31.7,2.3,0.73,0.12,0.38,10.2,0.0,0,0,5.7,5.7,0.17,-0.7,-0.7,Matches,alaves
13,Ibai Gómez,es ESP,"MF,FW",28.0,16.2,3,44.0,11.0,25.0,2.71,0.68,0.07,0.27,21.6,5.0,0,1,3.5,2.7,0.06,-0.5,0.3,Matches,alaves
14,Rubén Sobrino,es ESP,"FW,MF",26.0,12.5,4,25.0,11.0,44.0,2.0,0.88,0.16,0.36,15.1,0.0,0,0,2.3,2.3,0.12,0.7,0.7,Matches,alaves
15,Takashi Inui,jp JPN,"MF,FW",30.0,9.2,2,16.0,5.0,31.3,1.74,0.54,0.13,0.4,19.9,0.0,0,0,1.6,1.6,0.1,0.4,0.4,Matches,alaves
16,Carlos Vigaray,es ESP,DF,23.0,9.2,0,2.0,0.0,0.0,0.22,0.0,0.0,,27.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,alaves
17,John Guidetti,se SWE,FW,26.0,8.5,2,12.0,5.0,41.7,1.41,0.59,0.17,0.4,11.9,0.0,0,0,1.8,1.8,0.18,0.2,0.2,Matches,alaves
18,Burgui,es ESP,"MF,FW",24.0,8.2,1,18.0,6.0,33.3,2.2,0.73,0.06,0.17,22.1,0.0,0,0,0.9,0.9,0.12,0.1,0.1,Matches,alaves
19,Antonio Sivera,es ESP,GK,21.0,5.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves
20,Rodrigo Ely,br BRA,DF,24.0,4.8,0,3.0,1.0,33.3,0.63,0.21,0.0,0.0,14.9,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,alaves
21,Adrián Marín,es ESP,"DF,MF",21.0,4.1,0,2.0,0.0,0.0,0.48,0.0,0.0,,10.4,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,alaves
22,Diego Rolán,uy URU,"FW,MF",25.0,3.3,0,8.0,2.0,25.0,2.42,0.6,0.0,0.0,9.5,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,alaves
23,Patrick Twumasi,gh GHA,"MF,FW",24.0,2.2,0,4.0,2.0,50.0,1.78,0.89,0.0,0.0,17.6,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,alaves
24,Adrián Diéguez,es ESP,DF,22.0,2.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,alaves
25,Daniel Torres,co COL,MF,28.0,1.8,0,1.0,0.0,0.0,0.56,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves
26,Alejandro Blanco,es ESP,"FW,MF",19.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,alaves
27,Régis Gurtner,fr FRA,GK,31.0,38.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,amiens
28,Bakaye Dibassy,ml MLI,DF,28.0,34.7,1,12.0,2.0,16.7,0.36,0.06,0.08,0.5,15.9,0.0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,amiens
29,Emil Krafth,se SWE,DF,23.0,34.0,1,12.0,5.0,41.7,0.35,0.15,0.08,0.2,20.4,0.0,0,0,0.7,0.7,0.06,0.3,0.3,Matches,amiens
30,Thomas Monconduit,fr FRA,MF,27.0,31.9,0,17.0,5.0,29.4,0.54,0.16,0.0,0.0,27.3,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,amiens
31,Prince-Désir Gouano,fr FRA,DF,24.0,31.1,1,6.0,2.0,33.3,0.21,0.07,0.17,0.5,16.5,0.0,0,0,0.5,0.5,0.08,0.5,0.5,Matches,amiens
32,Eddy Gnahoré,fr FRA,MF,24.0,28.4,4,33.0,15.0,45.5,1.24,0.56,0.12,0.27,16.0,1.0,0,0,3.7,3.7,0.12,0.3,0.3,Matches,amiens
33,Juan Ferney Otero,co COL,"FW,MF",23.0,27.0,3,61.0,13.0,21.3,2.42,0.52,0.03,0.15,20.8,4.0,0,0,3.9,3.9,0.07,-1.9,-1.9,Matches,amiens
34,Alexis Blin,fr FRA,MF,21.0,25.1,1,8.0,1.0,12.5,0.35,0.04,0.13,1.0,20.0,0.0,0,0,0.3,0.3,0.05,0.7,0.7,Matches,amiens
35,Jordan Lefort,fr FRA,"DF,MF",24.0,23.7,0,10.0,1.0,10.0,0.45,0.05,0.0,0.0,23.5,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,amiens
36,Khaled Adénon,bj BEN,DF,33.0,23.4,0,14.0,0.0,0.0,0.6,0.0,0.0,,9.1,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,amiens
