,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
0,Joselu,es ESP,FW,29.0,30.9,60.0,1.94,37.0,0.0,2.0,9.0,10.0,2.0,13.0,0.42,7.0,0.0,0.0,5.0,1.0,0.0,0.0,Matches,Alaves
1,Víctor Laguardia,es ESP,DF,29.0,29.5,16.0,0.54,15.0,0.0,0.0,0.0,0.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
2,Rubén Duarte,es ESP,DF,23.0,29.6,37.0,1.25,24.0,3.0,0.0,4.0,5.0,1.0,6.0,0.2,2.0,1.0,0.0,1.0,2.0,0.0,0.0,Matches,Alaves
3,Lucas Pérez,es ESP,FW,30.0,27.7,91.0,3.28,44.0,33.0,4.0,6.0,4.0,0.0,9.0,0.32,6.0,2.0,1.0,0.0,0.0,0.0,0.0,Matches,Alaves
4,Fernando Pacheco,es ESP,GK,27.0,26.2,4.0,0.15,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
5,Aleix Vidal,es ESP,MF,29.0,24.1,71.0,2.95,37.0,19.0,3.0,2.0,8.0,2.0,9.0,0.37,4.0,2.0,0.0,0.0,2.0,1.0,0.0,Matches,Alaves
6,Rodrigo Ely,br BRA,DF,25.0,23.6,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
7,Martin Agirregabiria,es ESP,DF,23.0,23.3,23.0,0.99,18.0,1.0,2.0,0.0,2.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
8,Manu García,es ESP,MF,33.0,21.9,10.0,0.46,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
9,Ximo Navarro,es ESP,DF,29.0,21.1,6.0,0.28,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
10,Luis Rioja,es ESP,MF,25.0,18.2,27.0,1.49,18.0,4.0,1.0,0.0,3.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
11,Tomás Pina Isla,es ESP,MF,31.0,14.9,10.0,0.67,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Alaves
12,Víctor Camarasa,es ESP,MF,25.0,14.4,24.0,1.67,17.0,4.0,1.0,0.0,1.0,1.0,2.0,0.14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
13,Wakaso,gh GHA,MF,29.0,14.3,8.0,0.56,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
14,Oliver Burke,sco SCO,"MF,FW",22.0,15.9,16.0,1.01,12.0,0.0,3.0,0.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
15,Lisandro Magallán,ar ARG,DF,25.0,13.3,5.0,0.38,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
16,Ljubomir Fejsa,rs SRB,MF,30.0,8.7,3.0,0.34,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
17,Édgar Méndez,es ESP,"MF,FW",29.0,9.6,13.0,1.35,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
18,Adrián Marín,es ESP,DF,22.0,9.5,11.0,1.16,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
19,Roberto,es ESP,GK,33.0,8.8,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
20,Pere Pons,es ESP,MF,26.0,12.1,10.0,0.83,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Alaves
21,Borja Sainz,es ESP,"MF,FW",18.0,6.4,14.0,2.2,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
22,Antonio Sivera,es ESP,GK,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
23,Tachi,es ESP,DF,21.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
24,Abdallahi Mahmoud,mr MTN,MF,19.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
25,John Guidetti,se SWE,FW,27.0,1.1,2.0,1.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
26,Javi López,es ESP,DF,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
27,Guillermo Maripán,cl CHI,DF,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
