,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33.0,664.0,952.0,69.7,25193.0,17609.0,107.0,108.0,99.1,191.0,195.0,97.9,359.0,642.0,55.9,0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,30.4,532.0,910.0,58.5,8815.0,2302.0,303.0,461.0,65.7,150.0,271.0,55.4,66.0,126.0,52.4,2,2.5,-0.5,21.0,59.0,11.0,3.0,68.0,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,29.6,911.0,1146.0,79.5,23241.0,8663.0,209.0,242.0,86.4,442.0,495.0,89.3,251.0,387.0,64.9,0,0.3,-0.3,6.0,42.0,2.0,0.0,34.0,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,27.0,671.0,869.0,77.2,17364.0,7178.0,137.0,158.0,86.7,325.0,366.0,88.8,202.0,331.0,61.0,0,0.5,-0.5,4.0,42.0,3.0,0.0,48.0,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,25.9,733.0,869.0,84.3,13702.0,2915.0,310.0,344.0,90.1,321.0,357.0,89.9,88.0,133.0,66.2,0,0.2,-0.2,3.0,52.0,4.0,1.0,41.0,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,25.3,654.0,787.0,83.1,11583.0,3329.0,294.0,344.0,85.5,282.0,321.0,87.9,66.0,92.0,71.7,1,0.6,0.4,5.0,68.0,6.0,1.0,73.0,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,24.5,821.0,1171.0,70.1,15930.0,8601.0,363.0,418.0,86.8,332.0,444.0,74.8,118.0,273.0,43.2,1,2.2,-1.2,24.0,64.0,20.0,8.0,106.0,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,24.4,717.0,939.0,76.4,14355.0,5663.0,243.0,298.0,81.5,343.0,425.0,80.7,116.0,180.0,64.4,1,0.9,0.1,9.0,47.0,10.0,6.0,56.0,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,22.0,253.0,441.0,57.4,4737.0,1392.0,121.0,172.0,70.3,89.0,154.0,57.8,38.0,81.0,46.9,1,1.0,0.0,16.0,11.0,15.0,10.0,23.0,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,20.9,370.0,546.0,67.8,5930.0,1836.0,199.0,241.0,82.6,122.0,181.0,67.4,34.0,74.0,45.9,1,2.4,-1.4,21.0,24.0,15.0,10.0,32.0,Matches,Alaves
