,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
0,Joselu,es ESP,FW,29.0,30.9,541.0,995.0,54.4,8574.0,2354.0,312.0,516.0,60.5,149.0,313.0,47.6,56.0,104.0,53.8,2,2.2,-0.2,15.0,79.0,13.0,2.0,77.0,Matches,Alaves
1,Víctor Laguardia,es ESP,DF,29.0,29.5,774.0,1026.0,75.4,20218.0,8928.0,159.0,183.0,86.9,375.0,430.0,87.2,231.0,398.0,58.0,2,0.9,1.1,7.0,71.0,7.0,1.0,56.0,Matches,Alaves
2,Rubén Duarte,es ESP,DF,23.0,29.6,933.0,1310.0,71.2,17336.0,8840.0,401.0,459.0,87.4,416.0,558.0,74.6,102.0,249.0,41.0,1,0.9,0.1,11.0,91.0,16.0,8.0,93.0,Matches,Alaves
3,Lucas Pérez,es ESP,FW,30.0,27.7,448.0,705.0,63.5,8354.0,2767.0,199.0,267.0,74.5,169.0,231.0,73.2,61.0,165.0,37.0,5,5.9,-0.9,60.0,31.0,27.0,4.0,66.0,Matches,Alaves
4,Fernando Pacheco,es ESP,GK,27.0,26.2,471.0,814.0,57.9,21223.0,16380.0,38.0,40.0,95.0,97.0,106.0,91.5,335.0,666.0,50.3,0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,Matches,Alaves
5,Aleix Vidal,es ESP,MF,29.0,24.1,611.0,848.0,72.1,11886.0,3841.0,273.0,325.0,84.0,228.0,289.0,78.9,97.0,190.0,51.1,4,3.8,0.2,39.0,56.0,27.0,13.0,67.0,Matches,Alaves
6,Rodrigo Ely,br BRA,DF,25.0,23.6,667.0,839.0,79.5,16672.0,5747.0,155.0,176.0,88.1,316.0,356.0,88.8,192.0,292.0,65.8,0,0.1,-0.1,1.0,27.0,0.0,0.0,31.0,Matches,Alaves
7,Martin Agirregabiria,es ESP,DF,23.0,23.3,722.0,1014.0,71.2,12629.0,6069.0,329.0,385.0,85.5,314.0,408.0,77.0,70.0,172.0,40.7,1,1.0,0.0,12.0,36.0,14.0,5.0,60.0,Matches,Alaves
8,Manu García,es ESP,MF,33.0,21.9,521.0,710.0,73.4,9535.0,2300.0,235.0,290.0,81.0,215.0,269.0,79.9,60.0,110.0,54.5,0,0.2,-0.2,2.0,46.0,2.0,0.0,49.0,Matches,Alaves
9,Ximo Navarro,es ESP,DF,29.0,21.1,643.0,848.0,75.8,12140.0,4758.0,263.0,304.0,86.5,293.0,363.0,80.7,72.0,148.0,48.6,0,0.1,-0.1,3.0,45.0,3.0,1.0,50.0,Matches,Alaves
10,Luis Rioja,es ESP,MF,25.0,18.2,306.0,436.0,70.2,4430.0,1448.0,183.0,215.0,85.1,106.0,135.0,78.5,10.0,52.0,19.2,0,2.2,-2.2,16.0,14.0,13.0,5.0,30.0,Matches,Alaves
11,Tomás Pina Isla,es ESP,MF,31.0,14.9,419.0,525.0,79.8,7166.0,1941.0,187.0,220.0,85.0,182.0,215.0,84.7,37.0,59.0,62.7,0,0.5,-0.5,4.0,37.0,3.0,0.0,42.0,Matches,Alaves
12,Víctor Camarasa,es ESP,MF,25.0,14.4,430.0,533.0,80.7,8342.0,1719.0,187.0,222.0,84.2,177.0,201.0,88.1,60.0,94.0,63.8,1,1.6,-0.6,14.0,36.0,12.0,2.0,36.0,Matches,Alaves
13,Wakaso,gh GHA,MF,29.0,14.3,351.0,488.0,71.9,8398.0,2061.0,102.0,131.0,77.9,146.0,185.0,78.9,98.0,160.0,61.3,0,0.1,-0.1,2.0,42.0,3.0,0.0,39.0,Matches,Alaves
14,Oliver Burke,sco SCO,"MF,FW",22.0,15.9,226.0,333.0,67.9,3022.0,738.0,149.0,191.0,78.0,61.0,95.0,64.2,7.0,16.0,43.8,2,1.2,0.8,6.0,9.0,6.0,0.0,18.0,Matches,Alaves
15,Lisandro Magallán,ar ARG,DF,25.0,13.3,341.0,426.0,80.0,8177.0,3138.0,84.0,92.0,91.3,174.0,198.0,87.9,81.0,130.0,62.3,1,0.7,0.3,4.0,26.0,2.0,0.0,33.0,Matches,Alaves
16,Ljubomir Fejsa,rs SRB,MF,30.0,8.7,234.0,290.0,80.7,4376.0,942.0,98.0,109.0,89.9,101.0,120.0,84.2,30.0,43.0,69.8,0,0.0,0.0,1.0,18.0,0.0,0.0,18.0,Matches,Alaves
17,Édgar Méndez,es ESP,"MF,FW",29.0,9.6,134.0,197.0,68.0,2086.0,475.0,81.0,102.0,79.4,40.0,59.0,67.8,10.0,22.0,45.5,0,0.6,-0.6,6.0,11.0,8.0,4.0,16.0,Matches,Alaves
18,Adrián Marín,es ESP,DF,22.0,9.5,253.0,355.0,71.3,4644.0,2482.0,103.0,118.0,87.3,122.0,160.0,76.3,26.0,66.0,39.4,0,0.3,-0.3,5.0,24.0,7.0,2.0,39.0,Matches,Alaves
19,Roberto,es ESP,GK,33.0,8.8,122.0,238.0,51.3,6545.0,5534.0,11.0,11.0,100.0,17.0,17.0,100.0,94.0,209.0,45.0,0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,Matches,Alaves
20,Pere Pons,es ESP,MF,26.0,12.1,280.0,378.0,74.1,4900.0,1105.0,143.0,172.0,83.1,97.0,127.0,76.4,33.0,58.0,56.9,1,0.9,0.1,5.0,9.0,4.0,1.0,17.0,Matches,Alaves
21,Borja Sainz,es ESP,"MF,FW",18.0,6.4,94.0,130.0,72.3,1468.0,433.0,52.0,59.0,88.1,31.0,38.0,81.6,6.0,18.0,33.3,0,0.5,-0.5,5.0,6.0,5.0,2.0,10.0,Matches,Alaves
22,Antonio Sivera,es ESP,GK,22.0,3.0,43.0,83.0,51.8,1980.0,1621.0,7.0,7.0,100.0,11.0,11.0,100.0,25.0,65.0,38.5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Alaves
23,Tachi,es ESP,DF,21.0,2.6,43.0,59.0,72.9,1022.0,402.0,13.0,15.0,86.7,17.0,24.0,70.8,11.0,18.0,61.1,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,Alaves
24,Abdallahi Mahmoud,mr MTN,MF,19.0,1.7,33.0,38.0,86.8,462.0,94.0,18.0,21.0,85.7,11.0,12.0,91.7,1.0,1.0,100.0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches,Alaves
25,John Guidetti,se SWE,FW,27.0,1.1,22.0,35.0,62.9,350.0,107.0,14.0,16.0,87.5,6.0,10.0,60.0,2.0,5.0,40.0,0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,Matches,Alaves
26,Javi López,es ESP,DF,17.0,1.0,18.0,30.0,60.0,326.0,135.0,10.0,16.0,62.5,6.0,8.0,75.0,2.0,5.0,40.0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches,Alaves
