,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
0,Joselu,es ESP,FW,29.0,36,31,2782.0,30.9,11.0,2.0,10.0,1.0,1.0,6.0,0.0,0.36,0.06,0.42,0.32,0.39,10.5,9.8,2.2,12.0,0.34,0.07,0.41,0.32,0.39,Matches,Alaves
1,Víctor Laguardia,es ESP,DF,29.0,31,31,2654.0,29.5,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.03,0.07,0.1,0.03,0.1,0.8,0.8,0.9,1.7,0.03,0.03,0.06,0.03,0.06,Matches,Alaves
2,Rubén Duarte,es ESP,DF,23.0,31,30,2663.0,29.6,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.03,0.03,0.0,0.03,1.3,1.3,0.9,2.2,0.04,0.03,0.08,0.04,0.08,Matches,Alaves
3,Lucas Pérez,es ESP,FW,30.0,34,29,2496.0,27.7,11.0,5.0,6.0,5.0,5.0,4.0,0.0,0.4,0.18,0.58,0.22,0.4,9.9,6.1,5.9,12.0,0.36,0.21,0.57,0.22,0.43,Matches,Alaves
4,Fernando Pacheco,es ESP,GK,27.0,27,27,2358.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
5,Aleix Vidal,es ESP,MF,29.0,29,26,2165.0,24.1,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.08,0.17,0.25,0.08,0.25,2.5,2.5,3.8,6.2,0.1,0.16,0.26,0.1,0.26,Matches,Alaves
6,Rodrigo Ely,br BRA,DF,25.0,25,24,2121.0,23.6,2.0,0.0,2.0,0.0,0.0,9.0,1.0,0.08,0.0,0.08,0.08,0.08,0.7,0.7,0.1,0.8,0.03,0.0,0.03,0.03,0.03,Matches,Alaves
7,Martin Agirregabiria,es ESP,DF,23.0,31,23,2099.0,23.3,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.0,1.9,0.04,0.04,0.08,0.04,0.08,Matches,Alaves
8,Manu García,es ESP,MF,33.0,30,22,1967.0,21.9,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,2.2,0.09,0.01,0.1,0.09,0.1,Matches,Alaves
9,Ximo Navarro,es ESP,DF,29.0,23,22,1903.0,21.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.02,0.01,0.02,0.02,0.02,Matches,Alaves
10,Luis Rioja,es ESP,MF,25.0,28,19,1634.0,18.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.2,2.7,0.03,0.12,0.15,0.03,0.15,Matches,Alaves
11,Tomás Pina Isla,es ESP,MF,31.0,20,17,1344.0,14.9,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.5,1.3,0.06,0.03,0.09,0.06,0.09,Matches,Alaves
12,Víctor Camarasa,es ESP,MF,25.0,17,15,1293.0,14.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,0.3,0.3,1.6,1.9,0.02,0.11,0.13,0.02,0.13,Matches,Alaves
13,Wakaso,gh GHA,MF,29.0,16,15,1283.0,14.3,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,Alaves
14,Oliver Burke,sco SCO,"MF,FW",22.0,31,14,1429.0,15.9,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.06,0.13,0.19,0.06,0.19,3.2,3.2,1.2,4.3,0.2,0.07,0.27,0.2,0.27,Matches,Alaves
15,Lisandro Magallán,ar ARG,DF,25.0,17,13,1197.0,13.3,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.08,0.08,0.15,0.08,0.15,0.6,0.6,0.7,1.3,0.05,0.05,0.1,0.05,0.1,Matches,Alaves
16,Ljubomir Fejsa,rs SRB,MF,30.0,13,11,786.0,8.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
17,Édgar Méndez,es ESP,"MF,FW",29.0,16,10,864.0,9.6,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,0.5,0.5,0.6,1.0,0.05,0.06,0.11,0.05,0.11,Matches,Alaves
18,Adrián Marín,es ESP,DF,22.0,12,9,852.0,9.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.06,0.03,0.09,0.06,0.09,Matches,Alaves
19,Roberto,es ESP,GK,33.0,9,8,790.0,8.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
20,Pere Pons,es ESP,MF,26.0,30,7,1088.0,12.1,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.08,0.08,0.17,0.08,0.17,0.2,0.2,0.9,1.2,0.02,0.08,0.1,0.02,0.1,Matches,Alaves
21,Borja Sainz,es ESP,"MF,FW",18.0,19,5,573.0,6.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,1.3,1.3,0.5,1.8,0.2,0.07,0.28,0.2,0.28,Matches,Alaves
22,Antonio Sivera,es ESP,GK,22.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
23,Tachi,es ESP,DF,21.0,6,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
24,Abdallahi Mahmoud,mr MTN,MF,19.0,3,1,152.0,1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
25,John Guidetti,se SWE,FW,27.0,5,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.19,0.04,0.23,0.19,0.23,Matches,Alaves
26,Javi López,es ESP,DF,17.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
27,Guillermo Maripán,cl CHI,DF,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
28,Javier Muñoz,es ESP,MF,24.0,1,1,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
29,Paulino,es ESP,MF,22.0,3,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
30,Burgui,es ESP,MF,25.0,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
31,José Luis Rodríguez,pa PAN,FW,21.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Alaves
32,Aritz Castro,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
33,Ismael,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
34,Rafa Navarro,es ESP,DF,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
35,Daniel Torres,co COL,MF,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
