,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,30.4,27.0,22.0,9.0,15.0,3.0,7.0,24.0,29.2,17.0,508.0,123.0,24.2,50.0,245.0,213.0,33.0,6.0,0.0,27.0,15.0,42,51.0,0.0,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,29.6,40.0,23.0,33.0,7.0,0.0,16.0,24.0,66.7,8.0,232.0,78.0,33.6,157.0,69.0,6.0,46.0,17.0,2.0,29.0,50.0,88,191.0,0.0,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,27.0,21.0,15.0,16.0,4.0,1.0,12.0,32.0,37.5,20.0,164.0,63.0,38.4,100.0,58.0,6.0,41.0,15.0,1.0,26.0,25.0,41,159.0,1.0,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,25.9,46.0,27.0,20.0,22.0,4.0,14.0,43.0,32.6,29.0,428.0,120.0,28.0,166.0,222.0,40.0,39.0,14.0,0.0,25.0,14.0,60,49.0,0.0,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,25.3,45.0,32.0,20.0,22.0,3.0,11.0,35.0,31.4,24.0,402.0,116.0,28.9,127.0,218.0,57.0,37.0,7.0,0.0,30.0,36.0,80,47.0,0.0,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,24.5,52.0,27.0,26.0,21.0,5.0,19.0,40.0,47.5,21.0,323.0,102.0,31.6,142.0,138.0,43.0,68.0,6.0,0.0,62.0,37.0,89,100.0,0.0,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,24.4,41.0,31.0,23.0,17.0,1.0,14.0,33.0,42.4,19.0,266.0,96.0,36.1,140.0,97.0,29.0,41.0,3.0,0.0,38.0,46.0,84,80.0,1.0,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,22.0,41.0,19.0,23.0,11.0,7.0,12.0,42.0,28.6,30.0,397.0,91.0,22.9,109.0,171.0,117.0,25.0,3.0,0.0,22.0,14.0,55,16.0,0.0,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,20.9,21.0,11.0,12.0,8.0,1.0,8.0,41.0,19.5,33.0,268.0,64.0,23.9,78.0,120.0,70.0,26.0,1.0,0.0,25.0,27.0,46,32.0,0.0,Matches,Alaves
10,Lucas Pérez,es ESP,FW,32-233,17.3,10.0,7.0,6.0,2.0,2.0,1.0,7.0,14.3,6.0,252.0,56.0,22.2,26.0,117.0,109.0,6.0,1.0,0.0,5.0,5.0,15,3.0,0.0,Matches,Alaves
11,Martin Agirregabiria,es ESP,"DF,MF",24-356,17.3,28.0,15.0,14.0,9.0,5.0,10.0,24.0,41.7,14.0,160.0,47.0,29.4,62.0,77.0,21.0,24.0,4.0,1.0,20.0,34.0,59,31.0,1.0,Matches,Alaves
12,Jota,es ESP,MF,29-319,14.9,23.0,16.0,8.0,10.0,5.0,4.0,23.0,17.4,19.0,271.0,65.0,24.0,75.0,137.0,59.0,15.0,0.0,0.0,15.0,15.0,38,11.0,0.0,Matches,Alaves
13,Manu García,es ESP,MF,35-005,11.8,23.0,18.0,8.0,13.0,2.0,4.0,25.0,16.0,21.0,210.0,65.0,31.0,76.0,112.0,22.0,23.0,3.0,0.0,20.0,16.0,36,26.0,0.0,Matches,Alaves
14,Pere Pons,es ESP,MF,28-070,10.6,24.0,14.0,9.0,12.0,3.0,3.0,12.0,25.0,9.0,199.0,59.0,29.6,53.0,108.0,38.0,15.0,1.0,0.0,14.0,9.0,32,13.0,0.0,Matches,Alaves
15,Deyverson,br BRA,FW,29-358,10.6,7.0,6.0,4.0,2.0,1.0,3.0,13.0,23.1,10.0,165.0,50.0,30.3,15.0,79.0,71.0,18.0,0.0,0.0,18.0,11.0,17,13.0,0.0,Matches,Alaves
16,Tachi,es ESP,DF,23-233,10.4,11.0,8.0,9.0,2.0,0.0,3.0,11.0,27.3,8.0,65.0,16.0,24.6,42.0,20.0,3.0,14.0,5.0,0.0,9.0,9.0,19,41.0,0.0,Matches,Alaves
17,Borja Sainz,es ESP,"MF,FW",20-089,6.5,6.0,8.0,1.0,2.0,3.0,2.0,12.0,16.7,10.0,127.0,39.0,30.7,32.0,57.0,38.0,10.0,1.0,0.0,9.0,6.0,11,0.0,0.0,Matches,Alaves
18,Rodrigo Ely,br BRA,DF,27-179,5.2,7.0,3.0,5.0,2.0,0.0,3.0,4.0,75.0,1.0,28.0,14.0,50.0,12.0,15.0,1.0,5.0,1.0,0.0,4.0,2.0,9,33.0,1.0,Matches,Alaves
19,Facundo Pellistri,uy URU,MF,19-132,4.7,7.0,4.0,2.0,3.0,2.0,3.0,8.0,37.5,5.0,93.0,20.0,21.5,26.0,45.0,22.0,2.0,0.0,0.0,2.0,4.0,11,3.0,0.0,Matches,Alaves
20,Javi López,es ESP,"DF,MF",19-120,4.4,6.0,5.0,4.0,2.0,0.0,1.0,1.0,100.0,0.0,51.0,15.0,29.4,23.0,17.0,11.0,4.0,0.0,0.0,4.0,7.0,12,7.0,0.0,Matches,Alaves
21,Adrián Marín,es ESP,"DF,MF",24-112,3.4,1.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,24.0,6.0,25.0,4.0,12.0,8.0,5.0,1.0,0.0,4.0,3.0,2,3.0,0.0,Matches,Alaves
22,John Guidetti,se SWE,"FW,MF",29-016,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,4.0,12.1,3.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,Matches,Alaves
23,Antonio Sivera,es ESP,GK,24-263,3.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0,,,Matches,Alaves
24,Tomás Tavares,pt POR,"MF,DF",20-055,2.7,1.0,2.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,11.0,1.0,9.1,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2,2.0,0.0,Matches,Alaves
25,Iñigo Córdoba,es ESP,MF,24-049,2.4,7.0,5.0,3.0,2.0,2.0,2.0,10.0,20.0,8.0,85.0,17.0,20.0,27.0,39.0,19.0,8.0,0.0,0.0,8.0,4.0,11,1.0,0.0,Matches,Alaves
26,Abdallahi Mahmoud,mr MTN,MF,20-362,0.7,3.0,2.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,14.0,4.0,28.6,5.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,Matches,Alaves
27,Burgui,es ESP,MF,27-184,0.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3.0,1.0,33.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,Matches,Alaves
28,Sergi García,es ESP,MF,22-017,0.3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,Matches,Alaves
29,Stephane Keller,cm CMR,DF,19-254,0.2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0,Matches,Alaves
30,Paul Bernardoni,fr FRA,GK,24-014,34.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,Matches,angers
31,Romain Thomas,fr FRA,DF,32-324,33.3,53.0,32.0,41.0,11.0,1.0,13.0,41.0,31.7,28.0,294.0,94.0,32.0,212.0,75.0,7.0,43.0,24.0,0.0,19.0,46.0,88,195.0,1.0,Matches,angers
32,Ismaël Traoré,ci CIV,DF,34-257,33.0,48.0,33.0,30.0,15.0,3.0,17.0,35.0,48.6,18.0,313.0,112.0,35.8,207.0,90.0,16.0,42.0,16.0,0.0,26.0,42.0,90,148.0,1.0,Matches,angers
