,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,30.4,49.0,1.66,30.0,0.0,4.0,5.0,7.0,3.0,5.0,0.17,2.0,0.0,0.0,0.0,1.0,2.0,0.0,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,29.6,14.0,0.49,10.0,2.0,0.0,1.0,0.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,27.0,11.0,0.44,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,25.9,15.0,0.61,8.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,25.3,16.0,0.66,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,24.5,42.0,1.72,27.0,14.0,0.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,24.4,18.0,0.77,13.0,3.0,1.0,0.0,1.0,0.0,4.0,0.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,22.0,31.0,1.5,21.0,0.0,3.0,1.0,5.0,1.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,20.9,41.0,2.06,30.0,1.0,4.0,1.0,3.0,2.0,8.0,0.4,3.0,1.0,1.0,0.0,1.0,2.0,0.0,Matches,Alaves
10,Lucas Pérez,es ESP,FW,32-233,17.3,74.0,4.28,32.0,30.0,5.0,2.0,5.0,0.0,8.0,0.46,3.0,4.0,0.0,0.0,1.0,0.0,0.0,Matches,Alaves
11,Martin Agirregabiria,es ESP,"DF,MF",24-356,17.3,19.0,1.33,13.0,5.0,0.0,0.0,0.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
