,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33.0,952.0,561.0,391.0,128.0,0.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,345.0,43.0,564.0,536.0,240.0,0.0,0.0,96.0,664.0,7.0,18.0,7.0,2.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,30.4,910.0,889.0,21.0,0.0,5.0,382.0,21.0,21.0,0.0,0.0,0.0,0.0,361.0,294.0,255.0,135.0,410.0,130.0,4.0,27.0,532.0,4.0,19.0,29.0,34.0,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,29.6,1146.0,1075.0,71.0,67.0,1.0,106.0,83.0,5.0,0.0,0.0,0.0,0.0,736.0,81.0,329.0,108.0,923.0,65.0,4.0,1.0,911.0,5.0,26.0,14.0,11.0,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,27.0,869.0,813.0,56.0,53.0,0.0,89.0,41.0,4.0,0.0,0.0,0.0,0.0,478.0,91.0,300.0,66.0,694.0,79.0,3.0,2.0,671.0,5.0,23.0,5.0,11.0,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,25.9,869.0,828.0,41.0,37.0,0.0,150.0,20.0,5.0,2.0,1.0,1.0,0.0,619.0,100.0,150.0,158.0,622.0,59.0,0.0,3.0,733.0,2.0,14.0,17.0,21.0,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,25.3,787.0,769.0,18.0,14.0,0.0,138.0,9.0,5.0,0.0,0.0,0.0,0.0,554.0,104.0,129.0,359.0,324.0,67.0,3.0,5.0,654.0,1.0,9.0,14.0,14.0,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,24.5,1171.0,887.0,284.0,46.0,3.0,150.0,41.0,49.0,17.0,6.0,10.0,0.0,496.0,236.0,439.0,758.0,88.0,67.0,221.0,2.0,821.0,3.0,40.0,27.0,31.0,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,24.4,939.0,698.0,241.0,29.0,0.0,92.0,28.0,24.0,0.0,0.0,0.0,0.0,478.0,175.0,286.0,94.0,573.0,45.0,212.0,3.0,717.0,1.0,24.0,17.0,29.0,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,22.0,441.0,413.0,28.0,3.0,0.0,103.0,22.0,47.0,0.0,0.0,0.0,0.0,210.0,84.0,147.0,64.0,282.0,35.0,18.0,4.0,253.0,5.0,15.0,15.0,28.0,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,20.9,546.0,490.0,56.0,5.0,1.0,100.0,13.0,54.0,8.0,3.0,1.0,2.0,334.0,98.0,114.0,421.0,50.0,21.0,42.0,1.0,370.0,1.0,14.0,20.0,43.0,Matches,Alaves
10,Lucas Pérez,es ESP,FW,32-233,17.3,579.0,420.0,159.0,54.0,1.0,88.0,50.0,44.0,71.0,16.0,31.0,10.0,319.0,75.0,185.0,503.0,49.0,15.0,4.0,2.0,355.0,3.0,18.0,16.0,31.0,Matches,Alaves
11,Martin Agirregabiria,es ESP,"DF,MF",24-356,17.3,586.0,447.0,139.0,17.0,1.0,57.0,17.0,28.0,0.0,0.0,0.0,0.0,297.0,126.0,163.0,52.0,370.0,32.0,122.0,1.0,428.0,4.0,17.0,20.0,16.0,Matches,Alaves
12,Jota,es ESP,MF,29-319,14.9,462.0,424.0,38.0,21.0,3.0,100.0,21.0,26.0,10.0,5.0,3.0,0.0,308.0,49.0,105.0,396.0,41.0,16.0,1.0,0.0,344.0,3.0,10.0,18.0,10.0,Matches,Alaves
13,Manu García,es ESP,MF,35-005,11.8,331.0,323.0,8.0,3.0,0.0,75.0,7.0,5.0,0.0,0.0,0.0,0.0,199.0,41.0,91.0,178.0,91.0,30.0,3.0,2.0,232.0,2.0,7.0,11.0,8.0,Matches,Alaves
14,Pere Pons,es ESP,MF,28-070,10.6,288.0,282.0,6.0,5.0,1.0,48.0,4.0,7.0,0.0,0.0,0.0,0.0,198.0,44.0,46.0,48.0,205.0,25.0,1.0,1.0,225.0,2.0,4.0,4.0,9.0,Matches,Alaves
15,Deyverson,br BRA,FW,29-358,10.6,297.0,287.0,10.0,0.0,3.0,89.0,14.0,12.0,0.0,0.0,0.0,0.0,91.0,82.0,124.0,176.0,18.0,44.0,0.0,5.0,147.0,2.0,14.0,8.0,19.0,Matches,Alaves
16,Tachi,es ESP,DF,23-233,10.4,330.0,295.0,35.0,23.0,0.0,29.0,23.0,1.0,0.0,0.0,0.0,0.0,176.0,31.0,123.0,18.0,265.0,22.0,12.0,0.0,242.0,2.0,10.0,3.0,4.0,Matches,Alaves
17,Borja Sainz,es ESP,"MF,FW",20-089,6.5,103.0,100.0,3.0,1.0,0.0,18.0,5.0,14.0,0.0,0.0,0.0,0.0,68.0,16.0,19.0,13.0,84.0,3.0,2.0,1.0,78.0,0.0,3.0,1.0,4.0,Matches,Alaves
18,Rodrigo Ely,br BRA,DF,27-179,5.2,159.0,146.0,13.0,13.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,83.0,31.0,45.0,15.0,114.0,21.0,0.0,2.0,125.0,3.0,8.0,0.0,1.0,Matches,Alaves
19,Facundo Pellistri,uy URU,MF,19-132,4.7,92.0,91.0,1.0,0.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,57.0,25.0,10.0,6.0,69.0,10.0,1.0,1.0,62.0,0.0,2.0,4.0,5.0,Matches,Alaves
20,Javi López,es ESP,"DF,MF",19-120,4.4,146.0,113.0,33.0,1.0,1.0,19.0,7.0,15.0,1.0,0.0,0.0,0.0,76.0,27.0,43.0,88.0,19.0,6.0,31.0,0.0,113.0,0.0,4.0,3.0,4.0,Matches,Alaves
21,Adrián Marín,es ESP,"DF,MF",24-112,3.4,54.0,44.0,10.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,24.0,20.0,10.0,36.0,3.0,4.0,9.0,0.0,40.0,1.0,0.0,1.0,2.0,Matches,Alaves
22,John Guidetti,se SWE,"FW,MF",29-016,3.2,37.0,32.0,5.0,1.0,1.0,8.0,0.0,7.0,1.0,0.0,1.0,0.0,22.0,9.0,6.0,7.0,22.0,4.0,0.0,1.0,25.0,0.0,0.0,2.0,2.0,Matches,Alaves
23,Antonio Sivera,es ESP,GK,24-263,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,Alaves
24,Tomás Tavares,pt POR,"MF,DF",20-055,2.7,22.0,21.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,3.0,3.0,4.0,16.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,Matches,Alaves
25,Iñigo Córdoba,es ESP,MF,24-049,2.4,77.0,72.0,5.0,0.0,0.0,21.0,2.0,6.0,4.0,1.0,0.0,1.0,41.0,12.0,24.0,40.0,25.0,8.0,0.0,0.0,49.0,1.0,2.0,1.0,4.0,Matches,Alaves
