,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,30.4,8,81.0,25.0,30.9,2.66,0.82,0.07,0.24,15.7,3.0,2,4,11.2,8.1,0.11,-3.2,-2.1,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,29.6,1,21.0,6.0,28.6,0.71,0.2,0.05,0.17,18.3,4.0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,27.0,0,6.0,2.0,33.3,0.22,0.07,0.0,0.0,7.3,0.0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,25.9,1,12.0,4.0,33.3,0.46,0.15,0.08,0.25,14.6,0.0,0,0,0.7,0.7,0.06,0.3,0.3,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,25.3,1,13.0,2.0,15.4,0.51,0.08,0.08,0.5,17.3,0.0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,24.5,0,10.0,0.0,0.0,0.41,0.0,0.0,,25.8,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,24.4,1,14.0,4.0,28.6,0.57,0.16,0.07,0.25,24.9,0.0,0,0,0.3,0.3,0.02,0.7,0.7,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,22.0,5,30.0,11.0,36.7,1.37,0.5,0.17,0.45,16.6,0.0,0,0,4.4,4.4,0.16,0.6,0.6,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,20.9,3,20.0,9.0,45.0,0.96,0.43,0.15,0.33,18.0,0.0,0,0,2.7,2.7,0.15,-0.7,-0.7,Matches,Alaves
10,Lucas Pérez,es ESP,FW,32-233,17.3,4,22.0,6.0,27.3,1.27,0.35,0.05,0.17,18.2,2.0,3,4,5.7,2.7,0.12,-1.7,-1.7,Matches,Alaves
